test case,benchmark name,samples,iterations,estimated,mean,low mean,high mean,std dev,low std dev,high std dev,tags,raw
generating large instruction graphs for N devices - 4,soup topology,100,1,572247100,5734593.4400,5717810.1300,5777359.9400,121090.9130,11346.8069,236356.8390,"benchmark,group:instruction-graph","5724504.0000,5724544.0000,5716860.0000,5722380.0000,5713223.0000,5709065.0000,5705538.0000,5725727.0000,5749381.0000,5709085.0000,5714696.0000,5720366.0000,5716308.0000,5702072.0000,5711830.0000,5716970.0000,5712702.0000,5716880.0000,5711108.0000,5737799.0000,5710948.0000,5722821.0000,5705247.0000,5706691.0000,5714745.0000,5717941.0000,5747097.0000,5721919.0000,5714835.0000,5704886.0000,5711178.0000,5714825.0000,5718933.0000,5709215.0000,5714445.0000,5722249.0000,5709796.0000,5705678.0000,5702633.0000,5716349.0000,5711599.0000,5711038.0000,5726568.0000,5736917.0000,5722150.0000,5715688.0000,5715938.0000,5721688.0000,5724804.0000,5718784.0000,5727399.0000,5723001.0000,5716970.0000,5725977.0000,5737268.0000,5703304.0000,5725927.0000,5724885.0000,5721649.0000,5715718.0000,5733441.0000,5755483.0000,5725165.0000,5715728.0000,5723392.0000,5713754.0000,5711550.0000,5726808.0000,5702843.0000,5721809.0000,5705207.0000,5722330.0000,5711540.0000,5712481.0000,5708383.0000,5717220.0000,5713954.0000,5696220.0000,5728071.0000,5706049.0000,5708233.0000,5700228.0000,5705789.0000,5707462.0000,5719214.0000,5717361.0000,5729163.0000,5708394.0000,5720216.0000,5726798.0000,5730185.0000,6414783.0000,6716555.0000,5713433.0000,5715376.0000,5747778.0000,5709536.0000,5711209.0000,5711589.0000,5713873.0000"
generating large instruction graphs for N devices - 4,chain topology,100,1,72653700,727813.4600,726959.2900,728662.8500,4345.7031,3765.9027,5487.3685,"benchmark,group:instruction-graph","729772.0000,728429.0000,733639.0000,730423.0000,719362.0000,729792.0000,730133.0000,724703.0000,731315.0000,732587.0000,731825.0000,724492.0000,728289.0000,731045.0000,730433.0000,723219.0000,727528.0000,726586.0000,720234.0000,727889.0000,731405.0000,732958.0000,722368.0000,728760.0000,729261.0000,729823.0000,720033.0000,728289.0000,732778.0000,721025.0000,728499.0000,727568.0000,728059.0000,719753.0000,727077.0000,730333.0000,731155.0000,723009.0000,729351.0000,730543.0000,723220.0000,727708.0000,726687.0000,729511.0000,721406.0000,727147.0000,728620.0000,745071.0000,722198.0000,730353.0000,729120.0000,730904.0000,727418.0000,732968.0000,729211.0000,723961.0000,732788.0000,731596.0000,730433.0000,722769.0000,733449.0000,730944.0000,731505.0000,725293.0000,732508.0000,729020.0000,721315.0000,729752.0000,730062.0000,726906.0000,718862.0000,728519.0000,727487.0000,726576.0000,719142.0000,729782.0000,731225.0000,723059.0000,729271.0000,731545.0000,729832.0000,720544.0000,728440.0000,729812.0000,728390.0000,723540.0000,730384.0000,729862.0000,719372.0000,728139.0000,727748.0000,731506.0000,717559.0000,726846.0000,731135.0000,730373.0000,722548.0000,729672.0000,731596.0000,720995.0000"
generating large instruction graphs for N devices - 4,expanding tree topology,100,1,103737900,1038298.3700,1037661.7400,1039231.7600,3896.3279,2836.4626,5619.0421,"benchmark,group:instruction-graph","1036714.0000,1040311.0000,1041844.0000,1039028.0000,1038117.0000,1040261.0000,1038959.0000,1039590.0000,1036043.0000,1040601.0000,1051782.0000,1039119.0000,1041203.0000,1037816.0000,1038938.0000,1041884.0000,1033598.0000,1034700.0000,1038718.0000,1055951.0000,1041794.0000,1041092.0000,1041393.0000,1035321.0000,1034580.0000,1035842.0000,1042125.0000,1040251.0000,1035572.0000,1037135.0000,1038348.0000,1038918.0000,1038788.0000,1040522.0000,1044318.0000,1058144.0000,1035752.0000,1037876.0000,1037886.0000,1035742.0000,1034299.0000,1036995.0000,1036474.0000,1034971.0000,1037706.0000,1039670.0000,1036824.0000,1038998.0000,1034270.0000,1032897.0000,1037215.0000,1033458.0000,1033057.0000,1038006.0000,1038086.0000,1036594.0000,1038838.0000,1038447.0000,1034479.0000,1035722.0000,1037446.0000,1035542.0000,1042134.0000,1033668.0000,1036013.0000,1038407.0000,1036603.0000,1037044.0000,1040100.0000,1036283.0000,1039038.0000,1037706.0000,1041703.0000,1035663.0000,1036403.0000,1039740.0000,1032967.0000,1035892.0000,1034370.0000,1035402.0000,1040061.0000,1036974.0000,1034530.0000,1038848.0000,1036975.0000,1034881.0000,1037315.0000,1039109.0000,1034731.0000,1041463.0000,1037786.0000,1038949.0000,1039429.0000,1041714.0000,1040832.0000,1037857.0000,1040421.0000,1039780.0000,1036163.0000,1036313.0000"
generating large instruction graphs for N devices - 4,contracting tree topology,100,1,116277000,1163543.4700,1162861.1400,1164401.8900,3892.5261,3245.3986,5271.9473,"benchmark,group:instruction-graph","1161341.0000,1161872.0000,1166600.0000,1163344.0000,1170407.0000,1158225.0000,1159056.0000,1161841.0000,1164947.0000,1162362.0000,1170278.0000,1160449.0000,1161671.0000,1158595.0000,1163103.0000,1160579.0000,1166891.0000,1163314.0000,1159938.0000,1160810.0000,1163054.0000,1162001.0000,1163053.0000,1171690.0000,1161030.0000,1161992.0000,1161881.0000,1163304.0000,1164617.0000,1170017.0000,1165769.0000,1164546.0000,1158084.0000,1162763.0000,1161140.0000,1167402.0000,1162543.0000,1161240.0000,1160038.0000,1162803.0000,1160569.0000,1171259.0000,1160589.0000,1162002.0000,1158214.0000,1161961.0000,1161190.0000,1169545.0000,1163865.0000,1163595.0000,1160559.0000,1163435.0000,1165448.0000,1171069.0000,1163825.0000,1163645.0000,1162653.0000,1162262.0000,1165899.0000,1172421.0000,1162894.0000,1158205.0000,1161390.0000,1159016.0000,1181699.0000,1169676.0000,1163865.0000,1163134.0000,1164897.0000,1162373.0000,1165478.0000,1171900.0000,1164507.0000,1163044.0000,1160839.0000,1159336.0000,1159347.0000,1170518.0000,1161761.0000,1161711.0000,1160288.0000,1162863.0000,1159607.0000,1161691.0000,1166270.0000,1159928.0000,1164416.0000,1160830.0000,1161962.0000,1164546.0000,1168894.0000,1163675.0000,1161080.0000,1160439.0000,1164707.0000,1161992.0000,1169516.0000,1162292.0000,1165579.0000,1159587.0000"
generating large instruction graphs for N devices - 4,wave_sim topology,100,1,516375800,5156470.9900,5154244.4400,5159019.7200,12078.8039,10120.0932,16460.6489,"benchmark,group:instruction-graph","5154212.0000,5149122.0000,5163811.0000,5146368.0000,5151367.0000,5151558.0000,5157779.0000,5156347.0000,5169071.0000,5149183.0000,5127282.0000,5136258.0000,5138873.0000,5155776.0000,5155024.0000,5181454.0000,5147139.0000,5162308.0000,5148181.0000,5151558.0000,5163831.0000,5162538.0000,5158651.0000,5154884.0000,5161747.0000,5160835.0000,5134245.0000,5138683.0000,5141569.0000,5160344.0000,5157088.0000,5166536.0000,5155865.0000,5152579.0000,5167107.0000,5154213.0000,5148853.0000,5161085.0000,5145135.0000,5156277.0000,5178057.0000,5163911.0000,5163520.0000,5157940.0000,5162328.0000,5162118.0000,5151477.0000,5148432.0000,5146508.0000,5155435.0000,5157319.0000,5168750.0000,5166096.0000,5163069.0000,5176335.0000,5153551.0000,5137581.0000,5212663.0000,5134736.0000,5151087.0000,5147900.0000,5169701.0000,5172206.0000,5157348.0000,5150105.0000,5160375.0000,5156757.0000,5150245.0000,5144394.0000,5147811.0000,5168119.0000,5147500.0000,5147891.0000,5163831.0000,5166105.0000,5155565.0000,5145516.0000,5156096.0000,5159493.0000,5157429.0000,5146578.0000,5167949.0000,5153551.0000,5144054.0000,5168129.0000,5166316.0000,5176615.0000,5155355.0000,5171856.0000,5143142.0000,5145115.0000,5147059.0000,5154514.0000,5176304.0000,5155836.0000,5147520.0000,5162058.0000,5182005.0000,5138603.0000,5154504.0000"
generating large instruction graphs for N devices - 4,jacobi topology,100,1,144396300,1442981.4500,1442087.9700,1443972.8000,4813.8898,4208.6607,5844.5047,"benchmark,group:instruction-graph","1441091.0000,1438827.0000,1443305.0000,1440680.0000,1439889.0000,1447383.0000,1438586.0000,1443285.0000,1440550.0000,1438236.0000,1441161.0000,1438927.0000,1448605.0000,1435771.0000,1448375.0000,1437644.0000,1444487.0000,1435621.0000,1452703.0000,1445289.0000,1440019.0000,1443546.0000,1441332.0000,1447273.0000,1440029.0000,1450048.0000,1438707.0000,1443916.0000,1447022.0000,1444598.0000,1444117.0000,1435891.0000,1447603.0000,1436903.0000,1442694.0000,1440360.0000,1439838.0000,1447032.0000,1441101.0000,1447814.0000,1436813.0000,1444688.0000,1438366.0000,1443636.0000,1439428.0000,1435801.0000,1446491.0000,1434448.0000,1446781.0000,1439438.0000,1444838.0000,1437544.0000,1436472.0000,1446171.0000,1440299.0000,1448404.0000,1441130.0000,1440610.0000,1433086.0000,1445249.0000,1440981.0000,1440159.0000,1447042.0000,1440039.0000,1448265.0000,1439007.0000,1451501.0000,1436703.0000,1456340.0000,1444107.0000,1442444.0000,1452823.0000,1439498.0000,1448546.0000,1441532.0000,1445960.0000,1442354.0000,1449507.0000,1439608.0000,1439098.0000,1446781.0000,1444387.0000,1450218.0000,1442684.0000,1444647.0000,1442113.0000,1445189.0000,1460027.0000,1443405.0000,1445910.0000,1440409.0000,1448645.0000,1446842.0000,1445840.0000,1437844.0000,1445329.0000,1440800.0000,1440059.0000,1445269.0000,1436282.0000"
generating large instruction graphs for N devices - 16,soup topology,100,1,574343600,5740710.4000,5738557.8200,5744011.3800,13381.0630,9408.5744,23284.1065,"benchmark,group:instruction-graph","5733882.0000,5734143.0000,5739102.0000,5746105.0000,5731567.0000,5723051.0000,5748490.0000,5739843.0000,5748019.0000,5733411.0000,5736327.0000,5756765.0000,5745424.0000,5728963.0000,5738791.0000,5740935.0000,5735965.0000,5742628.0000,5753619.0000,5739071.0000,5726617.0000,5731717.0000,5742608.0000,5727480.0000,5829954.0000,5733902.0000,5741757.0000,5741206.0000,5754591.0000,5744262.0000,5743570.0000,5741646.0000,5729414.0000,5749742.0000,5777114.0000,5750293.0000,5738120.0000,5740485.0000,5738701.0000,5745103.0000,5738892.0000,5751675.0000,5745845.0000,5742358.0000,5735475.0000,5739002.0000,5757156.0000,5747638.0000,5723623.0000,5724333.0000,5736867.0000,5732600.0000,5734383.0000,5750153.0000,5745704.0000,5732079.0000,5737018.0000,5743480.0000,5751185.0000,5743480.0000,5736387.0000,5754060.0000,5744202.0000,5745754.0000,5751365.0000,5730946.0000,5754271.0000,5727018.0000,5728802.0000,5739232.0000,5738591.0000,5723312.0000,5743400.0000,5746506.0000,5735385.0000,5740274.0000,5725456.0000,5720687.0000,5741517.0000,5729473.0000,5743631.0000,5747738.0000,5715537.0000,5733421.0000,5737067.0000,5731337.0000,5727189.0000,5742628.0000,5741626.0000,5750243.0000,5739863.0000,5759240.0000,5746856.0000,5744211.0000,5712682.0000,5737699.0000,5733722.0000,5744271.0000,5755032.0000,5733080.0000"
generating large instruction graphs for N devices - 16,chain topology,100,1,73369100,734574.8400,733681.1200,735589.9300,4834.3427,3906.9131,6497.8453,"benchmark,group:instruction-graph","724212.0000,732287.0000,732046.0000,731405.0000,736344.0000,736104.0000,727238.0000,734922.0000,735262.0000,735053.0000,730583.0000,733269.0000,737768.0000,727848.0000,736245.0000,737717.0000,740132.0000,727007.0000,736835.0000,739951.0000,740823.0000,731235.0000,735774.0000,736505.0000,736164.0000,729001.0000,735864.0000,735833.0000,754889.0000,727988.0000,737247.0000,735142.0000,731966.0000,731916.0000,738218.0000,736084.0000,729873.0000,737907.0000,736185.0000,739961.0000,729452.0000,736815.0000,738388.0000,738399.0000,730854.0000,738879.0000,737376.0000,736295.0000,730643.0000,738488.0000,736976.0000,728339.0000,739931.0000,737437.0000,736825.0000,727768.0000,736525.0000,738088.0000,738208.0000,729181.0000,734682.0000,754889.0000,737416.0000,726216.0000,735292.0000,736775.0000,734862.0000,728339.0000,734260.0000,736094.0000,728549.0000,732748.0000,734431.0000,736345.0000,730233.0000,735393.0000,736755.0000,735593.0000,728439.0000,736145.0000,740893.0000,733509.0000,729342.0000,737987.0000,735052.0000,727237.0000,735523.0000,733890.0000,734131.0000,725714.0000,733979.0000,734250.0000,735914.0000,727898.0000,736344.0000,737227.0000,733409.0000,727818.0000,734301.0000,733940.0000"
generating large instruction graphs for N devices - 16,expanding tree topology,100,1,104634800,1045262.5000,1044743.9800,1046227.5900,3488.3521,2248.9706,6493.2250,"benchmark,group:instruction-graph","1045821.0000,1043357.0000,1053186.0000,1044419.0000,1045100.0000,1045401.0000,1041894.0000,1045751.0000,1043737.0000,1045391.0000,1041824.0000,1041163.0000,1043497.0000,1045811.0000,1043156.0000,1044769.0000,1043446.0000,1043036.0000,1046493.0000,1051232.0000,1044899.0000,1042726.0000,1043878.0000,1046423.0000,1043477.0000,1046412.0000,1044378.0000,1043768.0000,1044459.0000,1044659.0000,1042555.0000,1039449.0000,1043748.0000,1045330.0000,1044118.0000,1046342.0000,1045200.0000,1044078.0000,1045792.0000,1048015.0000,1043457.0000,1070618.0000,1045130.0000,1049127.0000,1046903.0000,1047675.0000,1044128.0000,1050861.0000,1043367.0000,1047194.0000,1044579.0000,1047084.0000,1045952.0000,1045050.0000,1045421.0000,1045751.0000,1044950.0000,1047034.0000,1046563.0000,1042696.0000,1043847.0000,1043717.0000,1052725.0000,1046723.0000,1043878.0000,1043397.0000,1041694.0000,1044469.0000,1043216.0000,1045911.0000,1046212.0000,1044248.0000,1048216.0000,1046182.0000,1045490.0000,1041914.0000,1044549.0000,1043056.0000,1041984.0000,1045300.0000,1042886.0000,1042985.0000,1043226.0000,1040251.0000,1044299.0000,1049598.0000,1042745.0000,1043888.0000,1049008.0000,1044890.0000,1045781.0000,1043477.0000,1049728.0000,1045130.0000,1042605.0000,1043868.0000,1045331.0000,1044679.0000,1044419.0000,1048998.0000"
generating large instruction graphs for N devices - 16,contracting tree topology,100,1,118435700,1188454.9600,1176686.6400,1215421.3400,88306.0295,40983.8076,150090.4813,"benchmark,group:instruction-graph","1177591.0000,1164907.0000,1173082.0000,1169546.0000,1169756.0000,1175287.0000,1166631.0000,1171470.0000,1171410.0000,1168864.0000,1168113.0000,1175337.0000,1168745.0000,1169005.0000,1168845.0000,1171169.0000,1171830.0000,1180026.0000,1169206.0000,1172752.0000,1170488.0000,1171690.0000,1179014.0000,1170037.0000,1170778.0000,1173364.0000,1169125.0000,1168073.0000,1177882.0000,1167652.0000,1168474.0000,1170447.0000,1168073.0000,1167432.0000,1179245.0000,1166530.0000,1169436.0000,1168324.0000,1170568.0000,1173794.0000,1180176.0000,1173434.0000,1172161.0000,1173924.0000,1172130.0000,1168303.0000,1411124.0000,1750778.0000,1743755.0000,1466178.0000,1173253.0000,1173193.0000,1174045.0000,1175948.0000,1168985.0000,1172492.0000,1171380.0000,1169145.0000,1172031.0000,1175297.0000,1169346.0000,1172823.0000,1168654.0000,1171941.0000,1184735.0000,1176820.0000,1167452.0000,1169286.0000,1168564.0000,1172331.0000,1171340.0000,1176880.0000,1169506.0000,1167582.0000,1170387.0000,1170148.0000,1173734.0000,1169426.0000,1173353.0000,1176479.0000,1173814.0000,1169316.0000,1177771.0000,1170748.0000,1169676.0000,1167251.0000,1174625.0000,1170378.0000,1175608.0000,1170087.0000,1166921.0000,1166561.0000,1168694.0000,1171369.0000,1177992.0000,1169706.0000,1167953.0000,1170889.0000,1172331.0000,1171289.0000"
generating large instruction graphs for N devices - 16,wave_sim topology,100,1,523316900,5240413.3600,5237391.0500,5244315.2100,17433.1066,13531.2155,24297.3643,"benchmark,group:instruction-graph","5228423.0000,5205200.0000,5253601.0000,5235978.0000,5248070.0000,5252438.0000,5255124.0000,5255254.0000,5240256.0000,5254082.0000,5319686.0000,5243301.0000,5246227.0000,5259552.0000,5259061.0000,5258310.0000,5246527.0000,5232471.0000,5242790.0000,5255094.0000,5234574.0000,5225969.0000,5318595.0000,5255515.0000,5243472.0000,5229605.0000,5228524.0000,5231209.0000,5233573.0000,5241728.0000,5232090.0000,5223143.0000,5224415.0000,5236329.0000,5218103.0000,5230878.0000,5222342.0000,5247449.0000,5220569.0000,5245846.0000,5215439.0000,5235186.0000,5226139.0000,5248231.0000,5207714.0000,5215939.0000,5234034.0000,5242199.0000,5242230.0000,5231078.0000,5244563.0000,5240436.0000,5259502.0000,5227331.0000,5208054.0000,5233644.0000,5240466.0000,5242089.0000,5249423.0000,5235727.0000,5248071.0000,5238041.0000,5228464.0000,5226019.0000,5255615.0000,5242249.0000,5238533.0000,5241558.0000,5229344.0000,5253691.0000,5241648.0000,5251176.0000,5224616.0000,5244945.0000,5218144.0000,5224396.0000,5231289.0000,5240276.0000,5243893.0000,5249092.0000,5219096.0000,5238332.0000,5237361.0000,5270272.0000,5254983.0000,5278448.0000,5245335.0000,5229836.0000,5237731.0000,5254473.0000,5255725.0000,5238682.0000,5228875.0000,5243201.0000,5236258.0000,5249152.0000,5251367.0000,5225348.0000,5240115.0000,5220889.0000"
generating large instruction graphs for N devices - 16,jacobi topology,100,1,148383400,1484217.9600,1483315.7800,1485181.1300,4734.1971,4240.0898,5436.2432,"benchmark,group:instruction-graph","1486407.0000,1481838.0000,1483091.0000,1495514.0000,1481798.0000,1489022.0000,1480295.0000,1489042.0000,1479634.0000,1485335.0000,1479434.0000,1485505.0000,1476198.0000,1484784.0000,1476117.0000,1490354.0000,1479053.0000,1489102.0000,1478822.0000,1489042.0000,1480104.0000,1486567.0000,1484073.0000,1487940.0000,1479864.0000,1488230.0000,1481708.0000,1484493.0000,1483721.0000,1479594.0000,1486697.0000,1480716.0000,1483541.0000,1476969.0000,1487639.0000,1479394.0000,1486096.0000,1479784.0000,1488010.0000,1480857.0000,1489082.0000,1478372.0000,1487238.0000,1478812.0000,1485626.0000,1482279.0000,1492088.0000,1486437.0000,1490815.0000,1481467.0000,1488511.0000,1484373.0000,1493099.0000,1484042.0000,1489102.0000,1479574.0000,1493219.0000,1479393.0000,1484443.0000,1478622.0000,1482229.0000,1489984.0000,1480246.0000,1483842.0000,1477179.0000,1484192.0000,1482099.0000,1489603.0000,1497749.0000,1487529.0000,1483331.0000,1488851.0000,1481498.0000,1491156.0000,1477470.0000,1490043.0000,1483100.0000,1486828.0000,1483211.0000,1486568.0000,1482690.0000,1483912.0000,1479173.0000,1484683.0000,1480546.0000,1487829.0000,1478201.0000,1488971.0000,1478782.0000,1488181.0000,1476869.0000,1482890.0000,1479133.0000,1479564.0000,1488380.0000,1479794.0000,1487008.0000,1479944.0000,1495244.0000,1480316.0000"
generating large instruction graphs for N devices without d2d copy support - 1,soup topology,100,1,571695500,5618398.3500,5566542.1300,5656474.0500,226106.4921,178375.0127,269177.6648,"benchmark,group:instruction-graph","5715527.0000,5712311.0000,5708253.0000,5708663.0000,5692082.0000,5714546.0000,5731597.0000,5706219.0000,5704907.0000,5718823.0000,5731537.0000,5714726.0000,5716950.0000,5727169.0000,5705007.0000,5711991.0000,5717451.0000,5718663.0000,5705748.0000,5408745.0000,5059803.0000,5063099.0000,5064001.0000,5067278.0000,5058912.0000,5074381.0000,5050336.0000,5072398.0000,5058431.0000,5057739.0000,5070934.0000,5058902.0000,5058451.0000,5078969.0000,5715436.0000,5722700.0000,5734102.0000,5730104.0000,5705798.0000,5715237.0000,5709065.0000,5684228.0000,5705017.0000,5721889.0000,5705949.0000,5702923.0000,5704897.0000,5708423.0000,5703273.0000,5718883.0000,5722120.0000,5715867.0000,5706640.0000,5712581.0000,5714956.0000,5704917.0000,5718172.0000,5696521.0000,5712181.0000,5694998.0000,5709586.0000,5735715.0000,5705237.0000,5719826.0000,5716729.0000,5709536.0000,5692203.0000,5704707.0000,5699797.0000,5695670.0000,5710046.0000,5692212.0000,5698063.0000,5689477.0000,5770412.0000,5709225.0000,5706971.0000,5714645.0000,5736838.0000,5712401.0000,5709666.0000,5718522.0000,5710457.0000,5706710.0000,5715067.0000,5717651.0000,5701410.0000,5698825.0000,5741286.0000,5710678.0000,5696311.0000,5703334.0000,5704857.0000,5731106.0000,5721518.0000,5710929.0000,5732028.0000,5707823.0000,5706470.0000,5714465.0000"
generating large instruction graphs for N devices without d2d copy support - 1,chain topology,100,1,72554200,725846.1600,724969.4400,726784.0200,4626.8000,3961.9331,6264.9337,"benchmark,group:instruction-graph","729591.0000,719242.0000,729562.0000,719663.0000,726245.0000,727557.0000,723930.0000,717238.0000,724973.0000,725965.0000,718611.0000,727939.0000,727017.0000,728510.0000,716897.0000,731305.0000,729491.0000,720405.0000,724272.0000,724532.0000,729772.0000,719082.0000,724182.0000,732387.0000,726366.0000,719102.0000,728529.0000,728229.0000,721035.0000,728840.0000,725294.0000,727177.0000,720464.0000,726906.0000,723991.0000,725964.0000,719953.0000,727127.0000,725424.0000,718621.0000,727768.0000,727347.0000,725453.0000,719011.0000,729091.0000,746825.0000,729912.0000,723050.0000,730894.0000,730664.0000,720825.0000,729121.0000,730985.0000,729281.0000,724161.0000,729231.0000,729391.0000,731656.0000,717759.0000,729511.0000,728971.0000,718992.0000,729351.0000,731726.0000,727347.0000,722227.0000,724882.0000,726165.0000,729892.0000,717519.0000,727749.0000,727377.0000,716737.0000,727698.0000,727067.0000,727709.0000,722568.0000,727017.0000,727749.0000,727998.0000,716817.0000,729462.0000,728510.0000,720354.0000,727508.0000,726145.0000,727618.0000,721026.0000,727498.0000,730714.0000,727147.0000,723530.0000,728249.0000,728009.0000,719202.0000,728179.0000,728430.0000,726736.0000,721016.0000,728399.0000"
generating large instruction graphs for N devices without d2d copy support - 1,expanding tree topology,100,1,103576600,1036513.7900,1036009.1500,1037231.2800,3029.0765,2314.8495,4882.9103,"benchmark,group:instruction-graph","1038588.0000,1039329.0000,1041773.0000,1037385.0000,1037055.0000,1037676.0000,1038778.0000,1039940.0000,1033258.0000,1034299.0000,1034309.0000,1034490.0000,1036383.0000,1034129.0000,1035862.0000,1038388.0000,1036564.0000,1037676.0000,1035712.0000,1034930.0000,1037807.0000,1034610.0000,1034210.0000,1034109.0000,1034189.0000,1033738.0000,1035422.0000,1036965.0000,1038527.0000,1039910.0000,1036113.0000,1036975.0000,1034780.0000,1039269.0000,1054798.0000,1033347.0000,1032216.0000,1034300.0000,1032947.0000,1037706.0000,1034911.0000,1034540.0000,1041002.0000,1033488.0000,1035141.0000,1037836.0000,1038578.0000,1034991.0000,1038247.0000,1036123.0000,1035001.0000,1038367.0000,1036945.0000,1036293.0000,1035793.0000,1032175.0000,1034631.0000,1035552.0000,1037405.0000,1032867.0000,1037376.0000,1037936.0000,1035552.0000,1033999.0000,1036664.0000,1034711.0000,1034079.0000,1034740.0000,1034910.0000,1033728.0000,1042395.0000,1034701.0000,1039539.0000,1037355.0000,1037345.0000,1036794.0000,1033578.0000,1033809.0000,1037526.0000,1039920.0000,1038066.0000,1038538.0000,1041974.0000,1036693.0000,1038197.0000,1041353.0000,1037956.0000,1036854.0000,1033077.0000,1035061.0000,1036043.0000,1031444.0000,1040011.0000,1035311.0000,1032346.0000,1034340.0000,1036143.0000,1042354.0000,1035061.0000,1035552.0000"
generating large instruction graphs for N devices without d2d copy support - 1,contracting tree topology,100,1,116186800,1152504.6100,1145024.0300,1158575.2500,34256.9279,25546.5734,45124.3765,"benchmark,group:instruction-graph","1157733.0000,1159778.0000,1168985.0000,1162793.0000,1159988.0000,1165118.0000,1163064.0000,1171169.0000,1157914.0000,1158164.0000,1159046.0000,1161019.0000,1162653.0000,1167732.0000,1159657.0000,1160499.0000,1156892.0000,1160269.0000,1164156.0000,1169135.0000,1162663.0000,1161961.0000,1157894.0000,1163424.0000,1162092.0000,1167292.0000,1160118.0000,1165328.0000,1158535.0000,1159036.0000,1163375.0000,1168283.0000,1161851.0000,1160249.0000,1159697.0000,1157043.0000,1159878.0000,1160318.0000,1165518.0000,1159106.0000,1158134.0000,1158084.0000,1294382.0000,1137826.0000,1051552.0000,1069486.0000,1161170.0000,1163334.0000,1162662.0000,1162152.0000,1158565.0000,1169346.0000,1158154.0000,1157312.0000,1156040.0000,1159427.0000,1159637.0000,1165989.0000,1159978.0000,1165158.0000,1159156.0000,1158946.0000,1159958.0000,1183342.0000,1157594.0000,1157774.0000,1160428.0000,1159677.0000,1108200.0000,1052484.0000,1050380.0000,1054888.0000,1050340.0000,1046383.0000,1048827.0000,1069807.0000,1158375.0000,1161371.0000,1155690.0000,1158615.0000,1164055.0000,1160048.0000,1157643.0000,1159477.0000,1161541.0000,1162884.0000,1161040.0000,1168003.0000,1162844.0000,1158785.0000,1155709.0000,1160539.0000,1157433.0000,1167061.0000,1158595.0000,1160228.0000,1164035.0000,1160489.0000,1163244.0000,1166760.0000"
generating large instruction graphs for N devices without d2d copy support - 1,wave_sim topology,100,1,512516100,5124748.9900,5122612.6500,5127435.5400,12127.2024,9916.3203,18295.0842,"benchmark,group:instruction-graph","5112243.0000,5110159.0000,5125127.0000,5123233.0000,5119166.0000,5115489.0000,5127031.0000,5114227.0000,5129135.0000,5137501.0000,5140687.0000,5130789.0000,5108886.0000,5116430.0000,5135066.0000,5130918.0000,5129084.0000,5127461.0000,5131449.0000,5140857.0000,5134044.0000,5121701.0000,5116672.0000,5113315.0000,5116170.0000,5119616.0000,5109067.0000,5138352.0000,5122182.0000,5136710.0000,5129175.0000,5115660.0000,5122923.0000,5138513.0000,5132321.0000,5130538.0000,5112554.0000,5104378.0000,5115139.0000,5117062.0000,5127412.0000,5142530.0000,5121680.0000,5135226.0000,5110300.0000,5123194.0000,5122412.0000,5112403.0000,5133172.0000,5132472.0000,5132521.0000,5112633.0000,5129736.0000,5118735.0000,5128063.0000,5123244.0000,5116151.0000,5134345.0000,5125809.0000,5118324.0000,5125438.0000,5138633.0000,5116461.0000,5117473.0000,5120759.0000,5144164.0000,5140036.0000,5119767.0000,5117573.0000,5113605.0000,5123905.0000,5133964.0000,5107664.0000,5189520.0000,5146067.0000,5147340.0000,5118315.0000,5113776.0000,5116381.0000,5110449.0000,5121561.0000,5116501.0000,5119116.0000,5113806.0000,5117683.0000,5120268.0000,5121731.0000,5111772.0000,5110440.0000,5133593.0000,5132892.0000,5119055.0000,5103185.0000,5134294.0000,5112002.0000,5129245.0000,5140556.0000,5141117.0000,5132402.0000,5130998.0000"
generating large instruction graphs for N devices without d2d copy support - 1,jacobi topology,100,1,143406600,1433549.2200,1432486.3200,1434824.9000,5908.6726,4930.3990,7738.8426,"benchmark,group:instruction-graph","1435731.0000,1441231.0000,1441512.0000,1431472.0000,1439277.0000,1433006.0000,1436102.0000,1426694.0000,1434468.0000,1431724.0000,1430861.0000,1439397.0000,1433306.0000,1436262.0000,1428868.0000,1433176.0000,1423949.0000,1425451.0000,1437243.0000,1432485.0000,1436963.0000,1427465.0000,1436181.0000,1431282.0000,1431683.0000,1456350.0000,1428116.0000,1432926.0000,1428016.0000,1435430.0000,1433426.0000,1429739.0000,1439017.0000,1433185.0000,1438065.0000,1431252.0000,1439668.0000,1429429.0000,1432796.0000,1432735.0000,1429890.0000,1438336.0000,1425141.0000,1437744.0000,1431362.0000,1435831.0000,1427705.0000,1427666.0000,1435741.0000,1426163.0000,1438807.0000,1423988.0000,1437754.0000,1428587.0000,1428597.0000,1439468.0000,1428326.0000,1439558.0000,1427776.0000,1439257.0000,1432734.0000,1432665.0000,1442734.0000,1432635.0000,1443927.0000,1432815.0000,1439909.0000,1429720.0000,1435871.0000,1426363.0000,1427074.0000,1438747.0000,1431282.0000,1432525.0000,1431824.0000,1434809.0000,1426724.0000,1431593.0000,1430722.0000,1430851.0000,1437383.0000,1428807.0000,1435400.0000,1426093.0000,1427826.0000,1433687.0000,1433186.0000,1442083.0000,1427375.0000,1441222.0000,1426523.0000,1427556.0000,1438406.0000,1428056.0000,1457682.0000,1429429.0000,1438186.0000,1427054.0000,1438426.0000,1441382.0000"
